id,code,title_en,title_ko,released_on,country,fscreen,preview,ani,naver,youtube,fweek,expectation,percent_error,URL,created_at,updated_at
13,20149629,Begin Again,비긴 어게인,2014-08-13,미국,185,9215,0,1276,94057,133628,131589.7320858,1.52532995644627,http://movie.naver.com/movie/bi/mi/photoViewPopup.nhn?movieCode=96379,2016-12-21 16:05:32 UTC,2016-12-21 16:05:32 UTC
154,20150020,Son of Saul,사울의 아들,2016-02-25,헝가리,47,3007,0,381,6111,11292,11492.8755834,1.77891944208289,http://movie.naver.com/movie/bi/mi/photoViewPopup.nhn?movieCode=139437,2016-12-21 16:05:33 UTC,2016-12-21 16:05:33 UTC
107,20147684,Night Train to Lisbon,리스본행 야간열차,2014-06-05,독일,52,4584,0,431,3097,19679,19301.9311698,1.91609751613394,http://movie.naver.com/movie/bi/mi/photoViewPopup.nhn?movieCode=103178,2016-12-21 16:05:33 UTC,2016-12-21 16:05:33 UTC
33,20166721,Foosball,장난감이 살아있다,2016-09-07,아르헨티나,212,1390,1,976,7075,67462,66008.048237,2.15521591859121,http://movie.naver.com/movie/bi/mi/photoViewPopup.nhn?movieCode=93929,2016-12-21 16:05:32 UTC,2016-12-21 16:05:32 UTC
247,20149860,Brave Rabbit,브레이브 래빗 : 새로운 영웅의 탄생,2014-08-28,중국,38,415,1,40,70,4829,4935.134048,2.19784733899358,http://movie.naver.com/movie/bi/mi/photoViewPopup.nhn?movieCode=126345,2016-12-21 16:05:33 UTC,2016-12-21 16:05:33 UTC
115,20136736,The Tibetan Dog,초원의 왕 도제,2014-03-27,일본,79,844,1,85,2132,18405,18810.6589668,2.20406936593318,http://movie.naver.com/movie/bi/mi/photoViewPopup.nhn?movieCode=91041,2016-12-21 16:05:33 UTC,2016-12-21 16:05:33 UTC
35,20168401,Cafe Society,카페 소사이어티,2016-09-14,미국,199,4440,0,824,7196,64066,61365.0860744,4.21583043361532,http://movie.naver.com/movie/bi/mi/photoViewPopup.nhn?movieCode=136870,2016-12-21 16:05:32 UTC,2016-12-21 16:05:32 UTC
89,20156102,Our Little Sister,바닷마을 다이어리,2015-12-17,일본,66,2152,0,969,16531,24602,23321.8134774,5.20358719860174,http://movie.naver.com/movie/bi/mi/photoViewPopup.nhn?movieCode=132610,2016-12-21 16:05:33 UTC,2016-12-21 16:05:33 UTC
57,20168361,OCTONAUTS Season4,바다 탐험대 옥토넛 시즌4: 늪지탐험선K,2016-09-28,영국,87,264,1,495,33859,40949,38809.3497086,5.22515883513639,http://movie.naver.com/movie/bi/mi/photoViewPopup.nhn?movieCode=149505,2016-12-21 16:05:32 UTC,2016-12-21 16:05:32 UTC
22,20163202,Criminal,크리미널,2016-06-22,영국,351,3546,0,792,542,86108,91198.7075788,5.91200304129699,http://movie.naver.com/movie/bi/mi/photoViewPopup.nhn?movieCode=127395,2016-12-21 16:05:32 UTC,2016-12-21 16:05:32 UTC
